,distance
0,0.05099019513593025
1,0.09486832980505497
2,0.02999999999999403
3,0.014142135623738184
4,0.09219544457293596
5,0.04242640687119446
6,0.09848857801796382
7,0.049999999999991475
8,0.08062257748298268
9,0.02236067977499345
10,0.09433981132056686
11,0.044721359549993255
12,0.09055385138137811
13,0.14142135623731153
14,0.050990195135924676
15,0.09848857801796382
16,0.13038404810404883
17,0.050990195135926064
18,0.11401754250990545
19,0.20248456731316805
20,0.1
21,0.1941648783894787
22,0.1166190378969084
23,0.11180339887498314
24,0.09055385138137655
25,0.08062257748298356
26,0.10000000000000142
27,0.028284271247466325
28,0.05099019513593025
29,0.044721359549993255
30,0.06082762530298528
31,0.08544003745317162
32,0.050990195135926064
33,0.01999999999999602
34,0.058309518948451156
35,0.14000000000000057
36,0.1063014581273454
37,0.06708203932499623
38,0.39012818406262373
39,0.09433981132056686
40,0.09899494936611203
41,0.08062257748298356
42,0.04472135955000279
43,0.022360679774996627
44,0.0860232526704232
45,0.10198039027184935
46,0.060000000000002274
47,0.04123105625617357
48,0.031622776601681994
49,0.07071067811865074
50,0.09433981132056686
51,0.12000000000000455
52,0.06708203932498352
53,0.1513274595042136
54,0.1204159457879279
55,0.3361547262794349
56,0.050000000000005686
57,0.07810249675907557
58,0.10816653826391787
59,0.11704699910719785
60,0.19924858845171126
61,0.13928388277184256
62,0.07071067811865375
63,0.11313708498985021
64,0.16970562748476276
65,0.050990195135924676
66,0.2920616373302076
67,0.022360679774996627
68,0.20223748416156984
69,0.12369316876852761
70,0.02236067977500298
71,0.15652475842498592
72,0.050990195135926064
73,0.2059126028197439
74,0.08062257748297916
75,0.036055512754642575
76,0.08246211251235058
77,0.022360679774996627
78,0.02236067977499027
79,0.21400934559032986
80,0.12083045973594403
81,0.3190611226708739
82,0.5100000000000051
83,0.08944271909999287
84,0.020000000000003126
85,0.8121576201698755
86,0.06324555320337073
87,0.1431782106327643
88,0.17262676501632257
89,0.06403124237433018
90,0.06708203932498988
91,0.14212670403552066
92,0.2549509756796292
93,0.028284271247461298
94,0.028284271247461298
95,0.08544003745317162
96,0.22561028345356782
97,0.25179356624028354
98,0.14212670403552066
99,0.10049875621121082
100,0.17204650534085383
101,0.028284271247456274
102,1.0841586599755553
103,0.202484567313167
104,0.17691806012954628
105,0.07280109889279752
106,0.15297058540778236
107,0.13453624047073043
108,0.5243090691567255
109,0.12727922061357835
110,0.07211102550928121
111,0.10999999999999943
112,0.053851648071343565
113,0.21095023109729807
114,0.06324555320336848
115,0.06403124237432574
116,0.09219544457293057
117,0.1063014581273454
118,0.10295630140986539
119,0.10000000000000568
120,0.1140175425099067
121,0.14035668847618293
122,0.4022437072223739
123,0.05385164807134752
124,0.11180339887498948
125,0.050000000000005686
126,0.05385164807134093
127,0.053851648071343565
128,0.5024937810560397
129,0.08246211251235748
130,0.09055385138137734
131,0.10049875621120305
132,0.050990195135924676
133,0.06082762530298411
134,0.13892443989449957
135,0.1552417469626055
136,0.05656854249492762
137,0.6640030120413655
138,0.0799999999999983
139,0.050990195135926064
140,0.058309518948451156
141,0.33615472627942217
142,0.06403124237433018
143,0.07211102550928121
144,0.036055512754638634
145,0.04123105625618219
146,0.09219544457292748
147,0.12649110640673922
148,0.07071067811865576
149,0.21189620100416934
150,0.30016662039607284
151,0.031622776601675257
152,0.08062257748298356
153,0.06082762530297827
154,0.09055385138137734
155,0.0447213595499869
156,0.12806248474866258
157,0.1700000000000017
158,0.0799999999999983
159,0.06708203932499623
160,0.0761577310586342
161,0.07280109889280827
162,0.11401754250991354
163,0.09219544457293596
164,0.08944271909999287
165,0.08062257748298356
166,0.06082762530298528
167,0.07615773105863326
168,0.022360679774996627
169,0.06324555320336174
170,0.07071067811865576
171,0.15132745950422066
172,0.16031219541881
173,0.06403124237432574
174,0.09433981132056686
175,0.030000000000001137
176,0.050990195135924676
177,0.04472135954999961
178,0.04472135954999961
179,0.03999999999999915
180,0.058309518948451156
181,0.09000000000000341
182,0.12999999999999545
183,0.05656854249491757
184,0.16763054614240477
185,0.20223748416156984
186,0.12649110640673022
187,0.044721359549993255
188,0.050990195135924676
189,0.14000000000000057
190,0.09055385138137811
191,0.11180339887498948
192,0.014142135623733162
193,0.06708203932499623
194,0.11704699910719542
195,0.0761577310586398
196,0.07211102550927923
197,0.12000000000000455
198,0.10049875621121719
199,0.06999999999999318
200,0.08944271909999921
201,0.10295630140987161
202,0.08544003745317412
203,0.08062257748297916
204,0.12083045973594403
205,0.4341658669218446
206,0.06403124237432574
207,0.19697715603592764
208,0.12165525060596823
209,0.09219544457293057
210,0.12529964086141726
211,0.06403124237432574
212,0.07211102550928121
213,0.06324555320337298
214,0.14866068747318464
215,0.028284271247461298
216,0.08062257748298444
217,0.03162277660167076
218,0.05830951894845725
219,0.04242640687118943
220,0.08944271909999921
221,0.12999999999999545
222,0.07810249675907557
223,0.07211102550927727
224,0.180277563773205
225,0.10816653826391984
226,0.09899494936612209
227,0.07071067811865576
228,0.09219544457293057
229,0.058309518948451156
230,0.1166190378969084
231,0.13453624047074045
232,0.09219544457293442
233,0.044721359549993255
234,0.1077032961426845
235,0.16031219541881
236,0.08485281374238891
237,0.10630145812735008
238,0.08544003745317412
239,0.0583095189484475
240,0.07071067811865074
241,0.2690724809414809
242,0.06324555320336848
243,0.12806248474865703
244,1.7324260445975672
245,0.0761577310586398
246,0.07810249675906647
247,0.04242640687119446
248,0.13601470508735297
249,0.08944271909998967
250,0.08544003745317412
251,0.1077032961426845
252,0.20808652046684634
253,0.06403124237432574
254,0.22360679774997896
255,0.07071067811865576
256,0.13152946437966098
257,0.06708203932499623
258,0.1700000000000017
259,0.10049875621121082
260,0.06324555320337298
261,0.07071067811865576
262,0.2607680962081053
263,0.22472205054244251
264,0.16970562748477783
265,0.1603121954188109
266,0.12165525060596355
267,0.050990195135924676
268,0.18110770276274132
269,0.05830951894845725
270,0.04999999999999431
271,0.05656854249493265
272,0.08062257748298973
273,0.028284271247466325
274,0.167630546142398
275,0.0799999999999983
276,0.036055512754638634
277,0.030000000000001137
278,0.07615773105864633
279,0.060000000000002274
280,0.09433981132056309
281,0.06999999999999318
282,0.22627416997969038
283,0.18439088914586113
284,0.08485281374238891
285,0.0640312423743213
286,0.04123105625617702
287,0.06999999999999318
288,0.16999999999999796
289,0.08246211251235404
290,0.12083045973594403
291,0.09055385138137811
292,0.12041594578792732
293,0.058309518948451156
294,0.18999999999999773
295,0.1526433752247327
296,0.07211102550928515
297,0.07280109889279948
298,0.16278820596100002
299,0.5142956348249414
300,0.08062257748299854
301,0.16492422502471668
302,0.692026011071837
303,0.158113883008423
304,0.06708203932498988
305,0.10000000000000853
306,0.37054014627298315
307,0.17888543819997935
308,0.08062257748298884
309,0.20518284528683645
310,0.3047950130825629
311,0.06999999999999318
312,0.05
313,0.23409399821439084
314,0.13453624047074045
315,0.13601470508735297
316,0.1499999999999943
317,0.06403124237434127
318,0.19924858845171806
319,0.0824621125123661
320,0.13928388277183593
321,0.5500909015789981
322,0.1431782106327643
323,0.17691806012954628
324,0.12000000000000455
325,0.08246211251235404
326,0.04000000000000625
327,0.21213203435595823
328,0.014142135623738184
329,0.22360679774997896
330,0.014142135623738184
331,0.11045361017187122
332,0.10295630140987161
333,0.11661903789690231
334,0.08602325267042485
335,0.09055385138136948
336,0.1166190378969145
337,0.22360679774998596
338,0.06708203932498988
339,0.028284271247461298
340,0.10770329614269372
341,0.03162277660168649
342,0.07810249675907102
343,0.08485281374238389
344,0.09899494936612209
345,0.202484567313167
346,0.028284271247461298
347,0.13601470508735872
348,0.17464249196573128
349,0.14422205101856242
350,0.1414213562373095
351,0.1431782106327668
352,0.09848857801796021
353,0.1920937271229772
354,0.2765863337187825
355,0.8300602387778825
356,0.16763054614240225
357,0.04472135955000279
358,0.16492422502470463
359,0.5203844732503176
360,0.9749358953284986
361,0.07000000000000028
362,0.11401754250991354
363,0.19026297590440172
364,0.1
365,0.07071067811865074
366,0.13038404810405266
367,0.12041594578792672
368,0.13453624047073517
369,0.13601470508735297
370,0.11180339887498948
371,0.08544003745317412
372,0.13038404810405646
373,0.1
374,0.21213203435595823
375,0.05099019513593025
376,0.12041594578791315
377,0.37947331922020416
378,0.02236067977500298
379,0.10295630140987161
380,0.10198039027184935
381,0.09433981132056309
382,0.06708203932499623
383,0.05385164807134093
384,0.34785054261853116
385,0.10198039027185074
386,0.10198039027185632
387,0.12000000000000455
388,0.22825424421026252
389,0.07211102550927727
390,0.07071067811865375
391,0.10000000000000142
392,0.03162277660168424
393,0.09055385138137734
394,0.10440306508910718
395,0.21931712199461448
396,0.06403124237432574
397,0.1769180601295411
398,0.044721359549993255
399,0.04999999999999716
400,0.07211102550928515
401,0.1552417469626055
402,0.2817800560721086
403,0.036055512754638634
404,0.07810249675906647
405,0.10198039027185074
406,0.09486832980504824
407,0.058309518948451156
408,0.06708203932499623
409,0.04123105625618219
410,0.13038404810405266
411,0.06324555320336174
412,0.4159326868617114
413,0.161245154965968
414,0.06324555320337073
415,0.13601470508735297
416,0.07071067811865375
417,0.1300000000000031
418,0.06082762530297827
419,0.2202271554554515
420,0.09486832980504824
421,0.2765863337187917
422,0.08246211251235058
423,0.1414213562373105
424,0.08544003745318077
425,0.036055512754638634
426,0.036055512754638634
427,0.06403124237432574
428,0.16552945357246088
429,0.35902646142032585
430,0.1627882059609948
431,0.12727922061357835
432,0.06708203932498988
433,0.05
434,0.13601470508736133
435,0.04472135954999961
436,0.1118033988749952
437,0.09055385138136948
438,0.09486832980505497
439,0.06082762530298528
440,0.13416407864998928
441,0.04999999999999716
442,0.10440306508910718
443,0.16278820596099391
444,0.03162277660168649
445,0.058309518948451156
446,0.12083045973594403
447,0.06403124237432574
448,0.10999999999999943
449,0.04123105625618219
450,0.09433981132056686
451,0.0640312423743213
452,0.05385164807134093
453,0.06708203932498988
454,0.036055512754638634
455,0.08944271909998967
456,0.10295630140987161
457,0.07000000000000028
458,0.058309518948451156
459,0.05
460,0.09055385138137734
461,0.10049875621121082
462,0.17088007490634824
463,0.08062257748298973
464,0.07000000000000028
465,0.08602325267041906
466,0.07810249675906102
467,0.03162277660168424
468,0.06082762530298528
469,0.08062257748298444
470,0.11704699910719785
471,0.0806225774829818
472,0.04999999999999431
473,0.09433981132056686
474,0.5661271941887261
475,0.0761577310586398
476,0.050990195135924676
477,0.02236067977500298
478,0.07615773105864633
479,0.02236067977499345
480,0.050990195135926064
481,0.06403124237432574
482,0.3601388621073817
483,0.04123105625617702
484,0.11180339887498822
485,0.12806248474865592
486,0.11401754250992104
487,0.21400934559032986
488,0.13038404810404883
489,0.12529964086141387
490,0.08246211251235232
491,0.04242640687119446
492,0.13341664064125916
493,0.08602325267042485
494,0.05830951894846334
495,0.02236067977500298
496,0.7596051605933217
497,0.12165525060596355
498,0.08544003745316912
499,0.11180339887499584
500,0.5292447448959633
501,0.10816653826390998
502,0.07000000000000739
503,0.12206555615733429
504,0.1341640786499861
505,0.0447213595499869
506,0.17029386365926016
507,0.19209372712299275
508,0.08944271909999921
509,0.05999999999998806
510,0.1513274595042216
511,0.13601470508735297
512,0.03162277660168424
513,0.060000000000002274
514,0.0640312423743213
515,0.16031219541881045
516,0.07071067811865074
517,0.04242640687119446
518,0.08944271909998651
519,0.06403124237432574
520,0.03162277660168649
521,0.049999999999991475
522,0.03162277660168424
523,0.053851648071356756
524,0.09219544457293134
525,0.2817800560721086
526,0.041231056256183916
527,0.18248287590894652
528,0.030000000000001137
529,0.5080354318352213
530,0.1835755975068569
531,0.04472135955000279
532,0.18973665961010772
533,0.2469817807045775
534,0.47296934361542625
535,0.35227829907617125
536,0.33376638536557063
537,0.02236067977500298
538,0.27730849247724293
539,0.104403065089114
540,0.3649657518178918
541,0.16124515496597416
542,0.12529964086141726
543,0.352278299076165
544,0.10770329614268713
545,0.07211102550927136
546,0.04472135955000279
547,0.09219544457293288
548,0.04242640687118441
549,0.12529964086141726
550,0.4455333881989111
551,0.1612451549659812
552,0.18439088914585886
553,0.1627882059609948
554,0.16278820596100002
555,0.22472205054245104
556,0.08246211251235058
557,0.9102197536858855
558,0.090553851381364
559,0.10198039027186329
560,0.0860232526704232
561,0.07211102550927923
562,0.06403124237432574
563,0.10816653826391984
564,0.08062257748298884
565,0.04472135954999007
566,0.104403065089114
567,0.12165525060596355
568,0.39051248379532744
569,0.10440306508910718
570,0.18439088914585652
571,0.08062257748297916
572,0.08062257748298444
573,0.16492422502470463
574,0.7481310045707268
575,0.06999999999999318
576,0.03605551275464652
577,0.21023796041629425
578,0.06324555320336848
579,0.1104536101718725
580,0.08544003745317412
581,0.18384776310849593
582,0.23853720883753504
583,0.06403124237432574
584,0.13601470508735192
585,0.041231056256183916
586,0.2332380757938107
587,0.18439088914585886
588,0.12165525060596823
589,0.301496268633624
590,0.20615528128088648
591,0.04472135955000279
592,0.1414213562373065
593,0.8728115489611699
594,0.022360679774996627
595,0.41629316592997956
596,0.19999999999998863
597,0.11180339887499076
598,0.26925824035672835
599,0.12369316876853449
600,0.22090722034374372
601,0.20000000000000284
602,0.14422205101856242
603,0.15811388300841717
604,0.16492422502471152
605,0.07211102550928121
606,0.13892443989448985
607,0.11180339887498948
608,0.20615528128088026
609,0.35440090293339066
610,0.07615773105863326
611,0.11401754250991541
612,0.31144823004795225
613,0.3705401462729686
614,0.12165525060596823
615,0.2561249694973185
616,0.04123105625618219
617,0.09219544457292517
618,0.05385164807135412
619,0.09219544457293134
620,0.13038404810405266
621,0.014142135623723113
622,0.16763054614241368
623,0.16278820596100002
624,0.32140317359975723
625,0.23853720883753504
626,0.04999999999999716
627,0.07071067811866179
628,0.202484567313167
629,0.17464249196573045
630,0.6185466837676779
631,0.05385164807134752
632,0.0781024967590701
633,0.07211102550928121
634,0.03605551275464652
635,0.07211102550928121
636,0.13038404810404883
637,0.16401219466857447
638,0.335261092284807
639,0.07810249675906647
640,0.19104973174542533
641,0.104403065089114
642,0.13928388277184256
643,0.470106370941725
644,1.6815469068687905
645,0.5178802950489525
646,0.6741661516273275
647,0.05830951894845725
648,0.15652475842498592
649,0.2999999999999957
650,0.09219544457293057
651,0.08246211251235058
652,0.11180339887499584
653,0.14764823060232676
654,0.098994949366107
655,0.282842712474618
656,0.7468600939935144
657,0.6637017402418127
658,0.2662705391138852
659,0.49769468552517204
660,0.2906888370749657
661,0.43566041821583923
662,0.7467261881037808
663,0.04472135954999007
664,0.6958448102846044
665,0.08062257748298356
666,0.562938717801501
667,0.3820994634908577
668,0.16401219466857578
669,0.3125699921617437
670,0.3397057550292585
671,0.0761577310586342
672,0.3157530680769276
673,0.2751363298439557
674,0.02236067977499345
675,0.15524174696260049
